Auction 100, won by: C, price paid: 70.0
Auction 799, won by: B, price paid: 11.0
Auction 800, won by: A, price paid: 13.0
Auction 801, won by: C, price paid: 8.0
Auction 802, won by: C, price paid: 12.0
Auction 803, won by: A, price paid: 11.0
Auction 804, won by: A, price paid: 22.0
Auction 805, won by: A, price paid: 15.0
Auction 806, won by: B, price paid: 25.0
Auction 807, won by: C, price paid: 27.0
Auction 808, won by: C, price paid: 14.0
Auction 809, won by: B, price paid: 9.0
Auction 810, won by: B, price paid: 8.0
Auction 811, won by: B, price paid: 14.0
Auction 812, won by: C, price paid: 15.0
Auction 813, won by: A, price paid: 22.0
Auction 814, won by: A, price paid: 21.0
Auction 815, won by: B, price paid: 72.0
Auction 816, won by: B, price paid: 28.0
Auction 817, won by: C, price paid: 18.0
Auction 818, won by: C, price paid: 3.0
Auction 819, won by: A, price paid: 12.0
Auction 820, won by: A, price paid: 13.0
Auction 821, won by: A, price paid: 16.0
Auction 822, won by: A, price paid: 7.0
Auction 823, won by: A, price paid: 18.0
Auction 824, won by: B, price paid: 7.0
Auction 825, won by: A, price paid: 19.0
Auction 826, won by: C, price paid: 13.0
Auction 827, won by: B, price paid: 4.0
Auction 828, won by: C, price paid: 13.0
Auction 829, won by: A, price paid: 18.0
Auction 830, won by: A, price paid: 29.0
Auction 831, won by: A, price paid: 14.0
Auction 832, won by: A, price paid: 24.0
Auction 833, won by: C, price paid: 6.0
Auction 834, won by: B, price paid: 72.0
Auction 835, won by: C, price paid: 8.0
Auction 836, won by: B, price paid: 32.0
Auction 837, won by: C, price paid: 43.0
Auction 838, won by: A, price paid: 17.0
Auction 839, won by: C, price paid: 6.0
Auction 840, won by: B, price paid: 9.0
Auction 841, won by: C, price paid: 31.0
Auction 842, won by: A, price paid: 26.0
Auction 843, won by: A, price paid: 17.0
Auction 844, won by: A, price paid: 5.0
Auction 845, won by: C, price paid: 11.0
Auction 846, won by: A, price paid: 12.0
Auction 847, won by: C, price paid: 17.0
Auction 848, won by: A, price paid: 11.0
Auction 849, won by: C, price paid: 17.0
Auction 850, won by: B, price paid: 19.0
Auction 851, won by: A, price paid: 11.0
Auction 852, won by: C, price paid: 12.0
Auction 853, won by: A, price paid: 16.0
Auction 854, won by: A, price paid: 26.0
Auction 855, won by: A, price paid: 48.0
Auction 856, won by: A, price paid: 18.0
Auction 857, won by: B, price paid: 9.0
Auction 858, won by: B, price paid: 9.0
Auction 859, won by: C, price paid: 16.0
Auction 860, won by: C, price paid: 5.0
Auction 861, won by: C, price paid: 9.0
Auction 862, won by: C, price paid: 19.0
Auction 863, won by: B, price paid: 20.0
Auction 864, won by: A, price paid: 19.0
Auction 865, won by: B, price paid: 20.0
Auction 866, won by: C, price paid: 16.0
Auction 867, won by: A, price paid: 25.0
Auction 868, won by: B, price paid: 12.0
Auction 869, won by: A, price paid: 11.0
Auction 870, won by: C, price paid: 15.0
Auction 871, won by: A, price paid: 26.0
Auction 872, won by: A, price paid: 11.0
Auction 873, won by: C, price paid: 3.0
Auction 874, won by: A, price paid: 16.0
Auction 875, won by: C, price paid: 49.0
Auction 876, won by: A, price paid: 10.0
Auction 877, won by: C, price paid: 6.0
Auction 878, won by: A, price paid: 10.0
Auction 879, won by: C, price paid: 25.0
Auction 880, won by: C, price paid: 4.0
Auction 881, won by: A, price paid: 12.0
Auction 882, won by: C, price paid: 7.0
Auction 883, won by: C, price paid: 12.0
Auction 884, won by: B, price paid: 22.0
Auction 885, won by: B, price paid: 9.0
Auction 886, won by: C, price paid: 21.0
Auction 887, won by: C, price paid: 16.0
Auction 888, won by: A, price paid: 30.0
Auction 889, won by: C, price paid: 17.0
Auction 890, won by: A, price paid: 13.0
Auction 891, won by: B, price paid: 10.0
Auction 892, won by: A, price paid: 27.0
Auction 893, won by: C, price paid: 13.0
Auction 894, won by: A, price paid: 10.0
Auction 895, won by: A, price paid: 25.0
Auction 896, won by: C, price paid: 10.0
Auction 897, won by: B, price paid: 10.0
Auction 898, won by: C, price paid: 11.0
Auction 899, won by: A, price paid: 12.0
Auction 900, won by: A, price paid: 7.0
Auction 901, won by: C, price paid: 6.0
Auction 902, won by: C, price paid: 32.0
Auction 903, won by: C, price paid: 13.0
Auction 904, won by: C, price paid: 11.0
Auction 905, won by: B, price paid: 13.0
Auction 906, won by: C, price paid: 6.0
Auction 907, won by: A, price paid: 8.0
Auction 908, won by: C, price paid: 7.0
Auction 909, won by: C, price paid: 18.0
Auction 910, won by: B, price paid: 12.0
Auction 911, won by: A, price paid: 12.0
Auction 912, won by: C, price paid: 6.0
Auction 913, won by: C, price paid: 12.0
Auction 914, won by: A, price paid: 12.0
Auction 915, won by: A, price paid: 14.0
Auction 916, won by: A, price paid: 11.0
Auction 917, won by: A, price paid: 5.0
Auction 918, won by: C, price paid: 14.0
Auction 919, won by: A, price paid: 18.0
Auction 920, won by: C, price paid: 12.0
Auction 921, won by: A, price paid: 37.0
Auction 922, won by: A, price paid: 20.0
Auction 923, won by: B, price paid: 13.0
Auction 924, won by: C, price paid: 26.0
Auction 925, won by: A, price paid: 6.0
Auction 926, won by: C, price paid: 7.0
Auction 927, won by: C, price paid: 45.0
Auction 928, won by: C, price paid: 12.0
Auction 929, won by: C, price paid: 19.0
Auction 930, won by: B, price paid: 14.0
Auction 931, won by: C, price paid: 11.0
Auction 932, won by: A, price paid: 7.0
Auction 933, won by: C, price paid: 33.0
Auction 934, won by: C, price paid: 45.0
Auction 935, won by: C, price paid: 22.0
Auction 936, won by: A, price paid: 24.0
Auction 937, won by: B, price paid: 5.0
Auction 938, won by: C, price paid: 10.0
Auction 939, won by: C, price paid: 3.0
Auction 940, won by: A, price paid: 11.0
Auction 941, won by: B, price paid: 8.0
Auction 942, won by: B, price paid: 59.0
Auction 943, won by: A, price paid: 10.0
Auction 944, won by: B, price paid: 16.0
Auction 945, won by: C, price paid: 12.0
Auction 946, won by: C, price paid: 15.0
Auction 947, won by: A, price paid: 17.0
Auction 948, won by: C, price paid: 7.0
Auction 949, won by: C, price paid: 18.0
Auction 950, won by: B, price paid: 27.0
Auction 951, won by: C, price paid: 9.0
Auction 952, won by: B, price paid: 9.0
Auction 953, won by: A, price paid: 8.0
Auction 954, won by: B, price paid: 13.0
Auction 955, won by: C, price paid: 16.0
Auction 956, won by: C, price paid: 6.0
Auction 957, won by: A, price paid: 16.0
Auction 958, won by: C, price paid: 10.0
Auction 959, won by: A, price paid: 11.0
Auction 960, won by: C, price paid: 10.0
Auction 961, won by: C, price paid: 24.0
Auction 962, won by: A, price paid: 11.0
Auction 963, won by: C, price paid: 3.0
Auction 964, won by: A, price paid: 14.0
Auction 965, won by: A, price paid: 28.0
Auction 966, won by: A, price paid: 8.0
Auction 967, won by: B, price paid: 20.0
Auction 968, won by: B, price paid: 11.0
Auction 969, won by: C, price paid: 6.0
Auction 970, won by: A, price paid: 19.0
Auction 971, won by: C, price paid: 12.0
Auction 972, won by: C, price paid: 4.0
Auction 973, won by: B, price paid: 6.0
Auction 974, won by: A, price paid: 11.0
Auction 975, won by: C, price paid: 32.0
Auction 976, won by: B, price paid: 12.0
Auction 977, won by: A, price paid: 9.0
Auction 978, won by: A, price paid: 16.0
Auction 979, won by: A, price paid: 21.0
Auction 980, won by: B, price paid: 20.0
Auction 981, won by: C, price paid: 9.0
Auction 982, won by: A, price paid: 7.0
Auction 983, won by: C, price paid: 18.0
Auction 984, won by: C, price paid: 8.0
Auction 985, won by: B, price paid: 9.0
Auction 986, won by: A, price paid: 29.0
Auction 987, won by: C, price paid: 6.0
Auction 988, won by: A, price paid: 12.0
Auction 989, won by: C, price paid: 24.0
Auction 990, won by: C, price paid: 8.0
Auction 991, won by: C, price paid: 12.0
Auction 992, won by: B, price paid: 14.0
Auction 993, won by: B, price paid: 7.0
Auction 994, won by: C, price paid: 12.0
Auction 995, won by: C, price paid: 9.0
Auction 996, won by: B, price paid: 9.0
Auction 997, won by: B, price paid: 7.0
Auction 998, won by: C, price paid: 25.0
Auction 999, won by: B, price paid: 10.0
Auction 1000, won by: B, price paid: 22.0
Auction 1001, won by: C, price paid: 6.0
Auction 1002, won by: C, price paid: 19.0
Auction 1003, won by: B, price paid: 27.0
Auction 1004, won by: A, price paid: 12.0
Auction 1005, won by: B, price paid: 15.0
Auction 1006, won by: A, price paid: 9.0
Auction 1007, won by: A, price paid: 21.0
Auction 1008, won by: B, price paid: 19.0
Auction 1009, won by: A, price paid: 9.0
Auction 1010, won by: B, price paid: 21.0
Auction 1011, won by: A, price paid: 9.0
Auction 1012, won by: A, price paid: 6.0
Auction 1013, won by: C, price paid: 6.0
Auction 1014, won by: A, price paid: 7.0
Auction 1015, won by: C, price paid: 8.0
Auction 1016, won by: A, price paid: 13.0
Auction 1017, won by: C, price paid: 19.0
Auction 1018, won by: B, price paid: 13.0
Auction 1019, won by: B, price paid: 14.0
Auction 1020, won by: C, price paid: 6.0
Auction 1021, won by: C, price paid: 21.0
Auction 1022, won by: C, price paid: 38.0
Auction 1023, won by: B, price paid: 23.0
Auction 1024, won by: C, price paid: 12.0
Auction 1025, won by: B, price paid: 19.0
Auction 1026, won by: B, price paid: 14.0
Auction 1027, won by: A, price paid: 15.0
Auction 1028, won by: A, price paid: 28.0
Auction 1029, won by: C, price paid: 25.0
Auction 1030, won by: C, price paid: 40.0
Auction 1031, won by: A, price paid: 8.0
Auction 1032, won by: C, price paid: 11.0
Auction 1033, won by: A, price paid: 34.0
Auction 1034, won by: B, price paid: 8.0
Auction 1035, won by: A, price paid: 13.0
Auction 1036, won by: A, price paid: 8.0
Auction 1037, won by: C, price paid: 23.0
Auction 1038, won by: B, price paid: 11.0
Auction 1039, won by: A, price paid: 11.0
Auction 1040, won by: A, price paid: 10.0
Auction 1041, won by: C, price paid: 6.0
Auction 1042, won by: B, price paid: 15.0
Auction 1043, won by: C, price paid: 6.0
Auction 1044, won by: C, price paid: 21.0
Auction 1045, won by: A, price paid: 6.0
Auction 1046, won by: B, price paid: 12.0
Auction 1047, won by: B, price paid: 8.0
Auction 1048, won by: C, price paid: 16.0
Auction 1049, won by: A, price paid: 6.0
Auction 1050, won by: A, price paid: 24.0
Auction 1051, won by: C, price paid: 8.0
Auction 1052, won by: B, price paid: 10.0
Auction 1053, won by: B, price paid: 4.0
Auction 1054, won by: B, price paid: 9.0
Auction 1055, won by: A, price paid: 19.0
Auction 1056, won by: C, price paid: 27.0
Auction 1057, won by: A, price paid: 29.0
Auction 1058, won by: C, price paid: 7.0
Auction 1059, won by: C, price paid: 15.0
Auction 1060, won by: B, price paid: 9.0
Auction 1061, won by: B, price paid: 15.0
Auction 1062, won by: C, price paid: 12.0
Auction 1063, won by: A, price paid: 11.0
Auction 1064, won by: A, price paid: 14.0
Auction 1065, won by: B, price paid: 29.0
Auction 1066, won by: C, price paid: 23.0
Auction 1067, won by: A, price paid: 23.0
Auction 1068, won by: C, price paid: 14.0
Auction 1069, won by: A, price paid: 6.0
Auction 1070, won by: A, price paid: 5.0
Auction 1071, won by: B, price paid: 32.0
Auction 1072, won by: A, price paid: 28.0
Auction 1073, won by: B, price paid: 7.0
Auction 1074, won by: A, price paid: 4.0
Auction 1075, won by: C, price paid: 24.0
Auction 1076, won by: B, price paid: 73.0
Auction 1077, won by: A, price paid: 29.0
Auction 1078, won by: C, price paid: 12.0
Auction 1079, won by: C, price paid: 12.0
Auction 1080, won by: B, price paid: 7.0
Auction 1081, won by: C, price paid: 11.0
Auction 1082, won by: C, price paid: 11.0
Auction 1083, won by: C, price paid: 52.0
Auction 1084, won by: A, price paid: 7.0
Auction 1085, won by: C, price paid: 13.0
Auction 1086, won by: C, price paid: 12.0
Auction 1087, won by: B, price paid: 3.0
Auction 1088, won by: A, price paid: 29.0
Auction 1089, won by: A, price paid: 5.0
Auction 1090, won by: A, price paid: 20.0
Auction 1091, won by: A, price paid: 7.0
Auction 1092, won by: B, price paid: 12.0
Auction 1093, won by: C, price paid: 8.0
Auction 1094, won by: C, price paid: 21.0
Auction 1095, won by: A, price paid: 26.0
Auction 1096, won by: C, price paid: 9.0
Auction 1097, won by: C, price paid: 13.0
Auction 1098, won by: C, price paid: 8.0
Auction 1099, won by: A, price paid: 21.0
